Date,Price
2015/5/26,57
2015/5/27,58
2015/5/28,58
2015/5/29,60
2015/6/1,60
2015/6/2,61
2015/6/3,60
2015/6/4,58
2015/6/5,59
2015/6/8,58
2015/6/9,60
2015/6/10,61
2015/6/11,61
2015/6/12,60
2015/6/15,60
2015/6/16,60
2015/6/17,60
2015/6/18,60
2015/6/19,60
2015/6/22,60
2015/6/23,61
2015/6/24,60
2015/6/25,60
2015/6/26,59
2015/6/29,58
2015/6/30,59
2015/7/1,57
2015/7/2,57
,
2015/7/6,52
2015/7/7,52
2015/7/8,52
2015/7/9,53
2015/7/10,53
2015/7/13,52
2015/7/14,53
2015/7/15,51
2015/7/16,51
2015/7/17,51
2015/7/20,50
2015/7/21,51
2015/7/22,49
2015/7/23,48
2015/7/24,48
2015/7/27,47
2015/7/28,48
2015/7/29,49
2015/7/30,49
2015/7/31,47
2015/8/3,45
2015/8/4,46
2015/8/5,45
2015/8/6,45
2015/8/7,44
2015/8/10,45
2015/8/11,43
2015/8/12,43
2015/8/13,42
2015/8/14,42
2015/8/17,42
2015/8/18,43
2015/8/19,41
2015/8/20,41
2015/8/21,40
2015/8/24,38
2015/8/25,39
2015/8/26,39
2015/8/27,42
2015/8/28,45
2015/8/31,49
2015/9/1,45
2015/9/2,46
2015/9/3,47
2015/9/4,46
,
2015/9/8,46
2015/9/9,44
2015/9/10,46
2015/9/11,45
2015/9/14,44
2015/9/15,45
2015/9/16,47
2015/9/17,47
2015/9/18,45
2015/9/21,47
2015/9/22,46
2015/9/23,45
2015/9/24,45
2015/9/25,46
2015/9/28,44
2015/9/29,45
2015/9/30,45
2015/10/1,45
2015/10/2,46
2015/10/5,46
2015/10/6,49
2015/10/7,48
2015/10/8,49
2015/10/9,50
2015/10/12,47
2015/10/13,47
2015/10/14,47
2015/10/15,46
2015/10/16,47
2015/10/19,46
2015/10/20,46
2015/10/21,45
2015/10/22,45
2015/10/23,44
2015/10/26,43
2015/10/27,43
2015/10/28,46
2015/10/29,46
2015/10/30,47
2015/11/2,46
2015/11/3,48
2015/11/4,46
2015/11/5,45
2015/11/6,44
2015/11/9,44
2015/11/10,44
2015/11/11,43
2015/11/12,42
2015/11/13,41
2015/11/16,42
2015/11/17,41
2015/11/18,41
2015/11/19,41
2015/11/20,39
2015/11/23,39
2015/11/24,41
2015/11/25,41
,
2015/11/27,41
2015/11/30,40
2015/12/1,41
2015/12/2,40
2015/12/3,41
2015/12/4,40
2015/12/7,38
2015/12/8,37
2015/12/9,37
2015/12/10,37
2015/12/11,36
2015/12/14,36
2015/12/15,37
2015/12/16,36
2015/12/17,35
2015/12/18,35
2015/12/21,35
2015/12/22,36
2015/12/23,37
2015/12/24,38
,
